job_id,job_title,extracted_skills,experience_level,extracted_job_skills_count,role_category,extracted_requirements,extracted_responsibilities
dcedd22a-ecbf-402c-b657-570885b37fb3,it recruiter,"scrum, problem solving, strategic planning, agile, komunikasi",senior level,5,hr / recruiter,teknis wajib menguasai scrum problem solving strategic planning agile serta komunikasi memiliki kemampuan problem solving yang baik sangat diutamakan,
302bcf5b-303e-4501-9b38-7b0eda40366a,data analyst,"scikit-learn, data visualization, scrum, agile, tensorflow",,5,data analyst,teknis wajib menguasai scikitlearn data visualization scrum agile serta tensorflow memiliki kemampuan problem solving yang baik sangat diutamakan,
fb99ecb9-f527-4116-aea8-89c9b86cf1f7,product manager,"scrum, leadership, strategic planning, agile, komunikasi",,5,product manager,teknis wajib menguasai scrum leadership strategic planning agile serta komunikasi memiliki kemampuan problem solving yang baik sangat diutamakan,
1e1524a0-81bb-4bbe-bf56-e33c2747683d,devops engineer,"javascript, fastapi, typescript, scrum, strategic planning, node.js, nuxt.js",entry level,7,devops / cloud engineer,teknis wajib menguasai javascript fastapi typescript scrum strategic planning nodejs serta nuxtjs memiliki kemampuan problem solving yang baik sangat diutamakan,
7b388edf-df9d-40d3-9dbf-9da15eb0bba1,ui/ux designer,"ui/ux, komunikasi, design system, wireframing, figma, prototyping",,6,ux / ui designer,teknis wajib menguasai uiux komunikasi design system wireframing figma serta prototyping memiliki kemampuan problem solving yang baik sangat diutamakan,
4c55eb9d-848f-494c-9f54-ff0309e8a89a,machine learning engineer,"statistika, scikit-learn, machine learning, negosiasi, leadership, python, r, pandas",entry level,8,data scientist / ml engineer,teknis wajib menguasai statistika scikitlearn machine learning negosiasi leadership python r serta pandas memiliki kemampuan problem solving yang baik sangat diutamakan,
b298e906-c62c-4e3f-aa2b-bcc10dce1bd8,data analyst,"statistika, data visualization, scikit-learn, powerbi, strategic planning, sql",,6,data analyst,teknis wajib menguasai statistika data visualization scikitlearn powerbi strategic planning serta sql memiliki kemampuan problem solving yang baik sangat diutamakan,
7785cf7a-896e-4e1e-8f75-d1ac59288dd5,frontend developer,"postgresql, project management, git, typescript, leadership, python, redis, nuxt.js",entry level,8,frontend developer,teknis wajib menguasai postgresql project management git typescript leadership python redis serta nuxtjs memiliki kemampuan problem solving yang baik sangat diutamakan,
a63c01fa-b09a-4567-926c-5a5226e48bc2,devops engineer,"react, git, fastapi, negosiasi, vue.js, mongodb",entry level,6,devops / cloud engineer,teknis wajib menguasai react git fastapi negosiasi vuejs serta mongodb memiliki kemampuan problem solving yang baik sangat diutamakan,
b07c044a-cd50-4b98-bbf8-093596b8ea07,ui/ux designer,"ui/ux, scrum, wireframing, figma, prototyping",,5,ux / ui designer,teknis wajib menguasai uiux scrum wireframing figma serta prototyping memiliki kemampuan problem solving yang baik sangat diutamakan,
0f7fd5ee-d4e5-402e-b8b1-876f3be63b7d,backend developer,"jira, docker, typescript, leadership, redis, node.js",,6,backend developer,teknis wajib menguasai jira docker typescript leadership redis serta nodejs memiliki kemampuan problem solving yang baik sangat diutamakan,
1f05248b-251c-4d63-a58e-b0fdab96fe04,data analyst,"leadership, strategic planning, python, r, tensorflow, sql",entry level,6,data analyst,teknis wajib menguasai leadership strategic planning python r tensorflow serta sql memiliki kemampuan problem solving yang baik sangat diutamakan,
0a4fb36d-3393-4b1b-9e62-797f7d749a35,backend developer,"fastapi, problem solving, python, leadership, redis",,5,backend developer,teknis wajib menguasai fastapi problem solving python leadership serta redis memiliki kemampuan problem solving yang baik sangat diutamakan,
b4cd5748-269b-4b82-9439-1b8ef9eba05f,full stack developer,"fastapi, scrum, vue.js, python, leadership, redis, node.js, nuxt.js",,8,fullstack developer,teknis wajib menguasai fastapi scrum vuejs python leadership redis nodejs serta nuxtjs memiliki kemampuan problem solving yang baik sangat diutamakan,
4b4dbe3f-162d-4471-9f75-70cd265a7cf5,frontend developer,"react, negosiasi, python, docker",entry level,4,frontend developer,teknis wajib menguasai react negosiasi python serta docker memiliki kemampuan problem solving yang baik sangat diutamakan,
aa9e3f96-3a79-4eb4-852c-35bba20ab42b,backend developer,"postgresql, negosiasi, typescript, git",entry level,4,backend developer,teknis wajib menguasai postgresql negosiasi typescript serta git memiliki kemampuan problem solving yang baik sangat diutamakan,
7049c7e9-be7a-4f30-b039-98e0d8d8e1a4,product manager,"jira, negosiasi, leadership, strategic planning, komunikasi",,5,product manager,teknis wajib menguasai jira negosiasi leadership strategic planning serta komunikasi memiliki kemampuan problem solving yang baik sangat diutamakan,
41038365-2179-418f-997d-a62dd7c3582f,product manager,"project management, jira, scrum, leadership, agile",entry level,5,product manager,teknis wajib menguasai project management jira scrum leadership serta agile memiliki kemampuan problem solving yang baik sangat diutamakan,
931977bb-853e-4096-8d94-061c9d7b05f5,it recruiter,"jira, scrum, negosiasi, agile, komunikasi",,5,hr / recruiter,teknis wajib menguasai jira scrum negosiasi agile serta komunikasi memiliki kemampuan problem solving yang baik sangat diutamakan,
884a824b-abe1-469c-b300-cddce6e3d014,data analyst,"powerbi, scikit-learn, komunikasi, statistika",entry level,4,data analyst,teknis wajib menguasai powerbi scikitlearn komunikasi serta statistika memiliki kemampuan problem solving yang baik sangat diutamakan,
e7a4c5f1-d9e7-4ba4-8319-7f1e6858e909,product manager,"project management, jira, scrum, negosiasi, strategic planning",,5,product manager,teknis wajib menguasai project management jira scrum negosiasi serta strategic planning memiliki kemampuan problem solving yang baik sangat diutamakan,
04aa2f12-8335-40cb-917a-031c963f50e9,ui/ux designer,"project management, ui/ux, komunikasi, adobe illustrator, wireframing, user research, figma, prototyping",entry level,8,ux / ui designer,teknis wajib menguasai project management uiux komunikasi adobe illustrator wireframing user research figma serta prototyping memiliki kemampuan problem solving yang baik sangat diutamakan,
23c2aa70-762a-4f11-97cb-45a20227a288,it recruiter,"project management, jira, negosiasi, problem solving, agile, komunikasi",entry level,6,hr / recruiter,teknis wajib menguasai project management jira negosiasi problem solving agile serta komunikasi memiliki kemampuan problem solving yang baik sangat diutamakan,
dbc6b15a-8ffa-45bf-9d68-00cec8327d46,devops engineer,"postgresql, javascript, react, scrum, negosiasi, vue.js, python, mongodb",senior level,8,devops / cloud engineer,teknis wajib menguasai postgresql javascript react scrum negosiasi vuejs python serta mongodb memiliki kemampuan problem solving yang baik sangat diutamakan,
dba1596c-3245-4be2-aff9-1ccfec430558,data scientist,"jira, scrum, sql, pandas, tableau",entry level,5,researcher,teknis wajib menguasai jira scrum sql pandas serta tableau memiliki kemampuan problem solving yang baik sangat diutamakan,
e7e9d5b7-433f-4397-b58b-4f4e3a1e7af6,product manager,"problem solving, project management, jira, komunikasi",,4,product manager,teknis wajib menguasai problem solving project management jira serta komunikasi memiliki kemampuan problem solving yang baik sangat diutamakan,
