job_id,job_title,extracted_job_skills,experienced_level,extracted_job_skills_count,role_category,extracted_requirements,extracted_responsibilities
1,data analyst,sql,entry level,1,data analyst,s1 teknik industri informatika sains fresh graduate mampu menguasai sql mampu menguasai alat visualisasi data,menarik data dari database dan menyajikan secara visual mengubah dari data menjadi bentuk infomasi untuk membuat managemen mengambil keputusan
2,data analyst/intelligence,power bi tableau excel,mid level,3,data analyst,bachelors degree in finance accounting economics or related strong financial analysis and modeling skills excel google sheets expe pivot tables macros formulas knowledge of bi tools power bi tableau zoho or equivalent is a plus strong attention to detail and structured thinking 23 years experience in financialdata analysis,build maintain and automate dashboards daily weekly monthly reports perform sales inventory psi and financial analysis conduct roi analysis for marketing and trade investments forecast demand and suppo supply chain planning suppo sales team with performance tracking and incentive calculations provide competitor and market intelligence to management
3,data  analyst,spss sql python power bi oracle excel,unspecified,6,other,data analyst 1 mengerti bahasa pemrograman bahasa pemrograman seperti sql structured query language oracle dan python merupakan bahasa yang paling sederhana yang wajib dimengerti oleh data analyst 2 familiar dengan platform power bi dari microsoft 3 mengerti matematika dan statistik 4 mampu menganalisis menyajikan dan menginterpretasikan data 5 mampu menggunakan software 6 memahami data warehousing 7 akurat detail oriented,data analyst berikut merupakan job desk data analyst mengumpulkan data yang akurat mengelompokan dan mengidentifikasikan data membuat rancangan menyimpan dan mengelola database mengolah data data yang dimiliki menggunakan alat statistik seperti microsoft excel program spss sampai dengan program sql membuat kesimpulan dan laporan yang relevan setelah data dianalisis berkomunikasi dengan internal customer logistik sales etc menyampaikan laporan tersebut menjadi sebuah informasi yang mudah untuk dipahami
4,data analyst associate,sql tableau python power bi oracle,senior level,5,data analyst,craft sql scripts examine source data structures detect data quality inconsistencies and design strategies to handle data integration obstacles you will work with finance stakeholders engineers and product teams to comprehend the associated business processes and transform these understandings into technical scripts you will design and deploy data integration solutions select appropriate data integration tools develop data mapping set up transformation and load etl processes and construct data integration workflows you will analyze requirements and develop financial operational reports or dashboards including automating existing reporting procedures you will provide technical suppo to resolve data integration issues and troubleshoot datarelated problems you will guide a team of external consultants to execute systemrelated requests by breaking down business requirements into actionable steps based on how the system is set up,get to know the team you will join a dynamic team reporting to the senior manager of finance data strategy we are dedicated to consolidating data from different sources to provide a coherent and unified view for finance stakeholders we prioritize data consistency quality and accessibility and we thrive on crossfunctional collaboration to meet the diverse needs of our business get to know the role as a data analyst finance product data integration at grab you will consolidate data from various sources to provide a unified view for finance stakeholders you will ensure data consistency quality and accessibility while collaborating with finance business teams and the data engineering team your role includes maintaining databases ensuring data integrity and security and conducting regular audits and quality checks robust analytical skills attention to detail and crossfunctional collaboration are essential for this position this role is based onsite in our jakarta office the critical tasks you will perform you will develop data integration solutions that match business requirements craft sql scripts examine source data structures detect data quality inconsistencies and design strategies to handle data integration obstacles you will work with finance stakeholders engineers and product teams to comprehend the associated business processes and transform these understandings into technical scripts you will design and deploy data integration solutions select appropriate data integration tools develop data mapping set up transformation and load etl processes and construct data integration workflows you will analyze requirements and develop financial operational reports or dashboards including automating existing reporting procedures you will provide technical suppo to resolve data integration issues and troubleshoot datarelated problems you will guide a team of external consultants to execute systemrelated requests by breaking down business requirements into actionable steps based on how the system is set up
5,data analyst officer for finance divison,excel,mid level,1,data analyst,bachelors degree any discipline with preference in finance accounting economics or related majors minimum 3 years working experience in the related position experienced in processing largescale data using excel preferably those who understand excel macros strong communication skills to effectively build and maintain relationships with franchise agents having good analytical skill logic thinking honest high integrity and selfmotivated person willing to be placed at pluitnorth jakarta able to join immediately,supporting accounting division in preparing the data for franchise agents commission collect all franchise agents commission deductions claim punishment dfod penalty and others identify and analyze the business strategy opportunity and risk and prepare manage and check administration and documentation
6,data analyst,sql tableau metabase google data studio python power bi excel,mid level,7,data analyst,fresh graduates or candidates with 12 years of experience in dataanalytics proficient in sql required basic knowledge of python for analysis or automation tasks comfortable with spreadsheetbased reporting and excel familiar with bi tools like metabase tableau power bi or google data studio strong interest in data collection transformation and automation good communication skills and willingness to work across teams a growth mindset and eagerness to learn new tools or methods,collaborate with different teams manufacture warehouse sales finance etc to understand data and reporting needs write and optimize sql queries to extract and validate data build interactive dashboards using tools like metabase tableau power bi or google data studio clean structure and prepare data for analysis suppo simple etl tasks to consolidate data from different sources present insights clearly to nontechnical users through reports or dashboards document your work and share learnings with the team benefit gaji pokok tunjangan bpjs full
7,data analyst staff,sql excel python,mid level,3,data analyst,and translate them into datadriven solutions continuously evaluate and improve data processing and analysis methods to enhance efficiency and accuracy provide recommendations and suppo datadriven decisionmaking processes ensure data integrity security and compliance with relevant regulations and policies,collect organize and analyst data from various sources to identify trends patterns and insights develop and maintain data models dashboards and reports to present findings in a clear and concise manner collaborate with crossfunctional teams to understand business requirements and translate them into datadriven solutions continuously evaluate and improve data processing and analysis methods to enhance efficiency and accuracy provide recommendations and suppo datadriven decisionmaking processes ensure data integrity security and compliance with relevant regulations and policies
8,data analyst staff,sql excel,mid level,2,data analyst,yang dibutuhkan pendidikan min s1 dalam bidang teknologi informasi statistika matematika atau disiplin ilmu terkait minimal 2 tahun pengalaman kerja sebagai data analyst atau peran serupa mahir dalam menggunakan alat analitik seperti sql excel kemampuan dalam pemodelan data visualisasi dan pelaporan pemahaman yang baik tentang teknik statistik dan data mining kemampuan komunikasi yang kuat baik lisan maupun tulisan keingintahuan yang tinggi berorientasi pada pemecahan masalah dan kemampuan berinovasi bersedia untuk penempatan di kawasan industri mm2100 cibitung,
9,data analyst,api sql tableau looker python power bi excel,unspecified,7,data analyst,bachelor degree of it computer science data science or certification of course completion in data analyst age range 20 39 must have skill expe in excel gsheet sql tableau phyton scraping website including ecommerce marketplace able to work with target deadlines location of work kemayoran central jkt or pakem kab tangerang depend on the candidate location,data collection management gather data from multiple sources databases apis spreadsheets surveys etc maintain and update databases or data systems ensure data accuracy completeness and consistency data cleaning preparation identify and correct errors or inconsistencies in data standardize transform and organize data for analysis handle missing or incomplete data appropriately data analysis interpretation use statistical techniques to identify trends correlations and patterns perform exploratory and predictive data analysis apply business logic to translate raw numbers into meaningful insights reporting visualization develop dashboards and reports eg in power bi tableau excel or looker present findings to stakeholders in a clear concise way create visualizations charts graphs kpis to make data insights accessible punctually deliver repo as required by users including periodical reports daily weekly quarterly yearly report business suppo decisionmaking collaborate with management to understand business needs provide datadriven recommendations for process improvement growth cost reduction or other important matters suppo strategic planning and forecasting collaboration communication work with crossfunctional teams it marketing finance operations etc translate technical findings into actionable business language document processes analysis methods and key findings tool technology use query databases using sql or similar languages work with python gsheet or excel for data analysis leverage bi tools for reporting and visualization
10,marketing data analyst,sql adobe analytics python r power bi excel,entry level,6,data analyst,s1 data science data analis statistika matematika terapan ilmu komunikasi manajemen pemasaran digital marketing sistem informasi teknik informatika ilmu komputer memiliki pengalaman minimal 1 tahun di bidang data science menguasai tools analytics seperti gaadobe analytics meta ads manager search console semrush metric cools etc menguasai data analytic tools sql excelgoogle sheetpower bi pythonr etc memiliki kemampuan yang baik terkait project management analytical thinking communication skill memiliki daya analisa yang kuat berpikir logis sistematis serta dapat mencari solusi,mengumpulkan menganalisa data dari berbagai kampanye digital untuk mengukur efektivitas memberikan wawasan yang membantu pengambilan keputusan dalam pengembangan strategi pemasaran memantau metrik utama dari saluran digital seperti media sosial iklan online dan email marketing serta menyusun laporan kinerja yang menggambarkan hasil dan rekomendasi untuk optimasi lebih lanjut mengidentifikasi tren pola dalam data untuk memberikan rekomendasi yang membantu tim pemasaran dalam merencanakan dan mengoptimalkan kampanye yang lebih efektif efisien
