job_id,job_title,company_name,industry_category,raw_description,extracted_skills,experience_level,posted_date
2535f7a2-7ca0-40e1-b9b2-57e0649f4499,Data Analyst,PT Maju Sistem,Teknologi & Informasi,"Kami di PT Maju Sistem sedang membuka kesempatan karir untuk posisi Data Analyst. Kandidat yang ideal diharapkan mampu beradaptasi cepat dalam lingkungan teknologi yang dinamis. Tanggung jawab utama meliputi eksekusi proyek strategis dan kolaborasi lintas divisi. Kualifikasi teknis wajib: Menguasai SQL, Python, TensorFlow, Data Visualization, Strategic Planning, Scrum, serta Scikit-learn. Memiliki kemampuan problem solving yang baik sangat diutamakan.","SQL, Python, TensorFlow, Data Visualization, Strategic Planning, Scrum, Scikit-learn",3-5 Tahun,2025-06-13 05:10:37
08af40df-9241-4bea-91ab-140c79ebe721,Data Scientist,PT Lancar Teknologi Tbk,Teknologi & Informasi,"Kami di PT Lancar Teknologi Tbk sedang membuka kesempatan karir untuk posisi Data Scientist. Kandidat yang ideal diharapkan mampu beradaptasi cepat dalam lingkungan teknologi yang dinamis. Tanggung jawab utama meliputi eksekusi proyek strategis dan kolaborasi lintas divisi. Kualifikasi teknis wajib: Menguasai Pandas, SQL, Python, Leadership, Scrum, Tableau, serta Machine Learning. Memiliki kemampuan problem solving yang baik sangat diutamakan.","Pandas, SQL, Python, Leadership, Scrum, Tableau, Machine Learning",Entry Level,2026-01-02 07:12:37
a72a3738-a428-4940-ba17-b0d54b1250f4,Data Scientist,PT Buana System,Teknologi & Informasi,"Kami di PT Buana System sedang membuka kesempatan karir untuk posisi Data Scientist. Kandidat yang ideal diharapkan mampu beradaptasi cepat dalam lingkungan teknologi yang dinamis. Tanggung jawab utama meliputi eksekusi proyek strategis dan kolaborasi lintas divisi. Kualifikasi teknis wajib: Menguasai Jira, R, PowerBI, Problem Solving, serta Machine Learning. Memiliki kemampuan problem solving yang baik sangat diutamakan.","Jira, R, PowerBI, Problem Solving, Machine Learning",1-3 Tahun,2026-02-22 06:21:37
2874d734-e80b-4e33-8f19-2001a7dd8dc5,UI/UX Designer,PT Pratama Software,Teknologi & Informasi,"Kami di PT Pratama Software sedang membuka kesempatan karir untuk posisi UI/UX Designer. Kandidat yang ideal diharapkan mampu beradaptasi cepat dalam lingkungan teknologi yang dinamis. Tanggung jawab utama meliputi eksekusi proyek strategis dan kolaborasi lintas divisi. Kualifikasi teknis wajib: Menguasai Photoshop, Prototyping, Design System, Scrum, Adobe Illustrator, User Research, serta Leadership. Memiliki kemampuan problem solving yang baik sangat diutamakan.","Photoshop, Prototyping, Design System, Scrum, Adobe Illustrator, User Research, Leadership",Entry Level,2025-06-21 01:01:37
1571cd2a-ef85-47b5-b045-c619a3a4924c,Data Scientist,PT Buana System,Teknologi & Informasi,"Kami di PT Buana System sedang membuka kesempatan karir untuk posisi Data Scientist. Kandidat yang ideal diharapkan mampu beradaptasi cepat dalam lingkungan teknologi yang dinamis. Tanggung jawab utama meliputi eksekusi proyek strategis dan kolaborasi lintas divisi. Kualifikasi teknis wajib: Menguasai R, Python, TensorFlow, Data Visualization, Strategic Planning, serta Scrum. Memiliki kemampuan problem solving yang baik sangat diutamakan.","R, Python, TensorFlow, Data Visualization, Strategic Planning, Scrum",3-5 Tahun,2026-04-05 10:20:37
54a2c3fd-cee0-4458-966c-f9597640314d,Full Stack Developer,PT Lancar Cloud,Teknologi & Informasi,"Kami di PT Lancar Cloud sedang membuka kesempatan karir untuk posisi Full Stack Developer. Kandidat yang ideal diharapkan mampu beradaptasi cepat dalam lingkungan teknologi yang dinamis. Tanggung jawab utama meliputi eksekusi proyek strategis dan kolaborasi lintas divisi. Kualifikasi teknis wajib: Menguasai Git, PostgreSQL, Komunikasi, Docker, Redis, serta Strategic Planning. Memiliki kemampuan problem solving yang baik sangat diutamakan.","Git, PostgreSQL, Komunikasi, Docker, Redis, Strategic Planning",Senior Level,2025-12-04 16:23:37
7c7337ec-3fb7-44a1-9927-de718aa16164,DevOps Engineer,PT Maju Creative,Teknologi & Informasi,"Kami di PT Maju Creative sedang membuka kesempatan karir untuk posisi DevOps Engineer. Kandidat yang ideal diharapkan mampu beradaptasi cepat dalam lingkungan teknologi yang dinamis. Tanggung jawab utama meliputi eksekusi proyek strategis dan kolaborasi lintas divisi. Kualifikasi teknis wajib: Menguasai PostgreSQL, Project Management, Negosiasi, Python, Redis, MongoDB, JavaScript, serta FastAPI. Memiliki kemampuan problem solving yang baik sangat diutamakan.","PostgreSQL, Project Management, Negosiasi, Python, Redis, MongoDB, JavaScript, FastAPI",1-3 Tahun,2025-07-19 16:16:37
b596ea5b-229e-4308-8b87-e0ba34297400,Data Analyst,PT Nusantara Digital Indonesia,Teknologi & Informasi,"Kami di PT Nusantara Digital Indonesia sedang membuka kesempatan karir untuk posisi Data Analyst. Kandidat yang ideal diharapkan mampu beradaptasi cepat dalam lingkungan teknologi yang dinamis. Tanggung jawab utama meliputi eksekusi proyek strategis dan kolaborasi lintas divisi. Kualifikasi teknis wajib: Menguasai Statistika, Komunikasi, R, PowerBI, Data Visualization, serta Scikit-learn. Memiliki kemampuan problem solving yang baik sangat diutamakan.","Statistika, Komunikasi, R, PowerBI, Data Visualization, Scikit-learn",1-3 Tahun,2025-07-05 12:56:37
d041686b-2377-47ae-bcac-d652322e87cc,Backend Developer,PT Nusa Hub,Teknologi & Informasi,"Kami di PT Nusa Hub sedang membuka kesempatan karir untuk posisi Backend Developer. Kandidat yang ideal diharapkan mampu beradaptasi cepat dalam lingkungan teknologi yang dinamis. Tanggung jawab utama meliputi eksekusi proyek strategis dan kolaborasi lintas divisi. Kualifikasi teknis wajib: Menguasai Agile, Nuxt.js, Docker, Python, Redis, Strategic Planning, MongoDB, serta JavaScript. Memiliki kemampuan problem solving yang baik sangat diutamakan.","Agile, Nuxt.js, Docker, Python, Redis, Strategic Planning, MongoDB, JavaScript",Senior Level,2025-07-23 01:20:37
fa83e936-d6ba-4861-b784-a4266b2a0d24,UI/UX Designer,PT Sentosa System Tbk,Teknologi & Informasi,"Kami di PT Sentosa System Tbk sedang membuka kesempatan karir untuk posisi UI/UX Designer. Kandidat yang ideal diharapkan mampu beradaptasi cepat dalam lingkungan teknologi yang dinamis. Tanggung jawab utama meliputi eksekusi proyek strategis dan kolaborasi lintas divisi. Kualifikasi teknis wajib: Menguasai Photoshop, Scrum, Adobe Illustrator, User Research, serta Wireframing. Memiliki kemampuan problem solving yang baik sangat diutamakan.","Photoshop, Scrum, Adobe Illustrator, User Research, Wireframing",Senior Level,2025-08-01 18:01:37
aea62652-d54a-4bab-9a64-1f9da530ccbf,Data Scientist,PT Nusantara Digital Indonesia,Teknologi & Informasi,"Kami di PT Nusantara Digital Indonesia sedang membuka kesempatan karir untuk posisi Data Scientist. Kandidat yang ideal diharapkan mampu beradaptasi cepat dalam lingkungan teknologi yang dinamis. Tanggung jawab utama meliputi eksekusi proyek strategis dan kolaborasi lintas divisi. Kualifikasi teknis wajib: Menguasai Agile, Pandas, Python, Data Visualization, serta Scikit-learn. Memiliki kemampuan problem solving yang baik sangat diutamakan.","Agile, Pandas, Python, Data Visualization, Scikit-learn",Senior Level,2026-01-26 04:44:37
043899ba-cc8d-4fe9-a758-ee14334337dd,Data Analyst,PT Berjaya Data,Teknologi & Informasi,"Kami di PT Berjaya Data sedang membuka kesempatan karir untuk posisi Data Analyst. Kandidat yang ideal diharapkan mampu beradaptasi cepat dalam lingkungan teknologi yang dinamis. Tanggung jawab utama meliputi eksekusi proyek strategis dan kolaborasi lintas divisi. Kualifikasi teknis wajib: Menguasai Statistika, Pandas, Komunikasi, TensorFlow, Data Visualization, serta Negosiasi. Memiliki kemampuan problem solving yang baik sangat diutamakan.","Statistika, Pandas, Komunikasi, TensorFlow, Data Visualization, Negosiasi",Senior Level,2026-01-12 04:45:37
7c11b4a3-7b6c-46a3-94e1-faf00ec7ea0b,Backend Developer,PT Berjaya Cloud,Teknologi & Informasi,"Kami di PT Berjaya Cloud sedang membuka kesempatan karir untuk posisi Backend Developer. Kandidat yang ideal diharapkan mampu beradaptasi cepat dalam lingkungan teknologi yang dinamis. Tanggung jawab utama meliputi eksekusi proyek strategis dan kolaborasi lintas divisi. Kualifikasi teknis wajib: Menguasai Nuxt.js, Project Management, Node.js, MongoDB, serta Negosiasi. Memiliki kemampuan problem solving yang baik sangat diutamakan.","Nuxt.js, Project Management, Node.js, MongoDB, Negosiasi",Entry Level,2026-04-22 00:51:37
d6a1bf07-d6d9-45a3-a971-e404768934a5,Full Stack Developer,PT Sentosa Software,Teknologi & Informasi,"Kami di PT Sentosa Software sedang membuka kesempatan karir untuk posisi Full Stack Developer. Kandidat yang ideal diharapkan mampu beradaptasi cepat dalam lingkungan teknologi yang dinamis. Tanggung jawab utama meliputi eksekusi proyek strategis dan kolaborasi lintas divisi. Kualifikasi teknis wajib: Menguasai Git, Nuxt.js, PostgreSQL, Komunikasi, serta TypeScript. Memiliki kemampuan problem solving yang baik sangat diutamakan.","Git, Nuxt.js, PostgreSQL, Komunikasi, TypeScript",Senior Level,2025-08-28 16:56:37
d5de6ca2-84e9-4234-a4db-01df39147b26,Product Manager,PT Nusa System,Teknologi & Informasi,"Kami di PT Nusa System sedang membuka kesempatan karir untuk posisi Product Manager. Kandidat yang ideal diharapkan mampu beradaptasi cepat dalam lingkungan teknologi yang dinamis. Tanggung jawab utama meliputi eksekusi proyek strategis dan kolaborasi lintas divisi. Kualifikasi teknis wajib: Menguasai Agile, Project Management, Jira, Problem Solving, Leadership, serta Negosiasi. Memiliki kemampuan problem solving yang baik sangat diutamakan.","Agile, Project Management, Jira, Problem Solving, Leadership, Negosiasi",1-3 Tahun,2025-06-27 01:58:37
31e36888-22c3-455e-a321-2f37c556df07,UI/UX Designer,PT Pratama Cloud Tbk,Teknologi & Informasi,"Kami di PT Pratama Cloud Tbk sedang membuka kesempatan karir untuk posisi UI/UX Designer. Kandidat yang ideal diharapkan mampu beradaptasi cepat dalam lingkungan teknologi yang dinamis. Tanggung jawab utama meliputi eksekusi proyek strategis dan kolaborasi lintas divisi. Kualifikasi teknis wajib: Menguasai Agile, Project Management, UI/UX, Prototyping, Design System, Wireframing, User Research, serta Adobe Illustrator. Memiliki kemampuan problem solving yang baik sangat diutamakan.","Agile, Project Management, UI/UX, Prototyping, Design System, Wireframing, User Research, Adobe Illustrator",3-5 Tahun,2025-12-28 20:56:37
d1cd2583-d11f-412a-8b38-ee48b2a1bff5,UI/UX Designer,PT Digital Creative,Teknologi & Informasi,"Kami di PT Digital Creative sedang membuka kesempatan karir untuk posisi UI/UX Designer. Kandidat yang ideal diharapkan mampu beradaptasi cepat dalam lingkungan teknologi yang dinamis. Tanggung jawab utama meliputi eksekusi proyek strategis dan kolaborasi lintas divisi. Kualifikasi teknis wajib: Menguasai Agile, Photoshop, Prototyping, Design System, Problem Solving, Adobe Illustrator, serta User Research. Memiliki kemampuan problem solving yang baik sangat diutamakan.","Agile, Photoshop, Prototyping, Design System, Problem Solving, Adobe Illustrator, User Research",3-5 Tahun,2026-04-04 15:44:37
1cc1af0e-dae2-4740-94a9-61223b92aeb0,Data Analyst,PT Nusa Analitika Tbk,Teknologi & Informasi,"Kami di PT Nusa Analitika Tbk sedang membuka kesempatan karir untuk posisi Data Analyst. Kandidat yang ideal diharapkan mampu beradaptasi cepat dalam lingkungan teknologi yang dinamis. Tanggung jawab utama meliputi eksekusi proyek strategis dan kolaborasi lintas divisi. Kualifikasi teknis wajib: Menguasai Jira, R, PowerBI, Tableau, serta Scikit-learn. Memiliki kemampuan problem solving yang baik sangat diutamakan.","Jira, R, PowerBI, Tableau, Scikit-learn",Senior Level,2025-09-06 07:13:37
f06d2851-e967-4333-b0de-5da2dc09aefd,Full Stack Developer,PT Pratama Hub,Teknologi & Informasi,"Kami di PT Pratama Hub sedang membuka kesempatan karir untuk posisi Full Stack Developer. Kandidat yang ideal diharapkan mampu beradaptasi cepat dalam lingkungan teknologi yang dinamis. Tanggung jawab utama meliputi eksekusi proyek strategis dan kolaborasi lintas divisi. Kualifikasi teknis wajib: Menguasai Git, Vue.js, Negosiasi, serta Redis. Memiliki kemampuan problem solving yang baik sangat diutamakan.","Git, Vue.js, Negosiasi, Redis",3-5 Tahun,2025-06-06 12:56:37
3581e0b3-6cd8-4e3f-94bf-20b2f6f162de,Full Stack Developer,PT Sinergi Digital Indonesia Tbk,Teknologi & Informasi,"Kami di PT Sinergi Digital Indonesia Tbk sedang membuka kesempatan karir untuk posisi Full Stack Developer. Kandidat yang ideal diharapkan mampu beradaptasi cepat dalam lingkungan teknologi yang dinamis. Tanggung jawab utama meliputi eksekusi proyek strategis dan kolaborasi lintas divisi. Kualifikasi teknis wajib: Menguasai Nuxt.js, Negosiasi, TypeScript, MongoDB, Vue.js, JavaScript, serta FastAPI. Memiliki kemampuan problem solving yang baik sangat diutamakan.","Nuxt.js, Negosiasi, TypeScript, MongoDB, Vue.js, JavaScript, FastAPI",Senior Level,2025-11-25 07:03:37
e83ba74b-f1eb-41a2-9ccc-a8a55e9f39b9,Backend Developer,PT Berjaya Cloud Tbk,Teknologi & Informasi,"Kami di PT Berjaya Cloud Tbk sedang membuka kesempatan karir untuk posisi Backend Developer. Kandidat yang ideal diharapkan mampu beradaptasi cepat dalam lingkungan teknologi yang dinamis. Tanggung jawab utama meliputi eksekusi proyek strategis dan kolaborasi lintas divisi. Kualifikasi teknis wajib: Menguasai Agile, Nuxt.js, Project Management, Node.js, Python, React, serta TypeScript. Memiliki kemampuan problem solving yang baik sangat diutamakan.","Agile, Nuxt.js, Project Management, Node.js, Python, React, TypeScript",1-3 Tahun,2026-01-06 10:07:37
02dcf2bc-dc8e-4d35-844b-72af3a1c6b57,UI/UX Designer,PT Inti Teknologi,Teknologi & Informasi,"Kami di PT Inti Teknologi sedang membuka kesempatan karir untuk posisi UI/UX Designer. Kandidat yang ideal diharapkan mampu beradaptasi cepat dalam lingkungan teknologi yang dinamis. Tanggung jawab utama meliputi eksekusi proyek strategis dan kolaborasi lintas divisi. Kualifikasi teknis wajib: Menguasai Photoshop, UI/UX, Prototyping, Design System, Strategic Planning, Scrum, Adobe Illustrator, serta Figma. Memiliki kemampuan problem solving yang baik sangat diutamakan.","Photoshop, UI/UX, Prototyping, Design System, Strategic Planning, Scrum, Adobe Illustrator, Figma",3-5 Tahun,2026-01-26 06:17:37
3a05ec5e-9d13-4dc2-9562-d68076fc2b63,DevOps Engineer,PT Solusi Data Tbk,Teknologi & Informasi,"Kami di PT Solusi Data Tbk sedang membuka kesempatan karir untuk posisi DevOps Engineer. Kandidat yang ideal diharapkan mampu beradaptasi cepat dalam lingkungan teknologi yang dinamis. Tanggung jawab utama meliputi eksekusi proyek strategis dan kolaborasi lintas divisi. Kualifikasi teknis wajib: Menguasai MongoDB, Python, React, serta Scrum. Memiliki kemampuan problem solving yang baik sangat diutamakan.","MongoDB, Python, React, Scrum",Senior Level,2025-12-12 19:06:37
d6793c69-6567-4bbc-bcd4-df657ae42aba,UI/UX Designer,PT Global Teknologi,Teknologi & Informasi,"Kami di PT Global Teknologi sedang membuka kesempatan karir untuk posisi UI/UX Designer. Kandidat yang ideal diharapkan mampu beradaptasi cepat dalam lingkungan teknologi yang dinamis. Tanggung jawab utama meliputi eksekusi proyek strategis dan kolaborasi lintas divisi. Kualifikasi teknis wajib: Menguasai Photoshop, Prototyping, Design System, Problem Solving, serta Negosiasi. Memiliki kemampuan problem solving yang baik sangat diutamakan.","Photoshop, Prototyping, Design System, Problem Solving, Negosiasi",Senior Level,2025-07-10 14:09:37
762df364-4198-4173-a0db-b48d9d579536,Machine Learning Engineer,PT Utama System,Teknologi & Informasi,"Kami di PT Utama System sedang membuka kesempatan karir untuk posisi Machine Learning Engineer. Kandidat yang ideal diharapkan mampu beradaptasi cepat dalam lingkungan teknologi yang dinamis. Tanggung jawab utama meliputi eksekusi proyek strategis dan kolaborasi lintas divisi. Kualifikasi teknis wajib: Menguasai SQL, Jira, R, Strategic Planning, serta Scikit-learn. Memiliki kemampuan problem solving yang baik sangat diutamakan.","SQL, Jira, R, Strategic Planning, Scikit-learn",3-5 Tahun,2025-12-25 18:02:37
e9d6487e-11e4-41c3-b0a6-cd17a12ac2b6,Full Stack Developer,PT Pratama Cloud,Teknologi & Informasi,"Kami di PT Pratama Cloud sedang membuka kesempatan karir untuk posisi Full Stack Developer. Kandidat yang ideal diharapkan mampu beradaptasi cepat dalam lingkungan teknologi yang dinamis. Tanggung jawab utama meliputi eksekusi proyek strategis dan kolaborasi lintas divisi. Kualifikasi teknis wajib: Menguasai Git, PostgreSQL, Node.js, Python, React, Redis, serta Problem Solving. Memiliki kemampuan problem solving yang baik sangat diutamakan.","Git, PostgreSQL, Node.js, Python, React, Redis, Problem Solving",Entry Level,2025-06-14 21:16:37
bded4456-d231-4761-bcc2-6d5c4fb3ea7b,IT Recruiter,PT Nusa Creative,Teknologi & Informasi,"Kami di PT Nusa Creative sedang membuka kesempatan karir untuk posisi IT Recruiter. Kandidat yang ideal diharapkan mampu beradaptasi cepat dalam lingkungan teknologi yang dinamis. Tanggung jawab utama meliputi eksekusi proyek strategis dan kolaborasi lintas divisi. Kualifikasi teknis wajib: Menguasai Agile, Project Management, Komunikasi, Jira, Strategic Planning, serta Negosiasi. Memiliki kemampuan problem solving yang baik sangat diutamakan.","Agile, Project Management, Komunikasi, Jira, Strategic Planning, Negosiasi",Entry Level,2025-07-16 12:53:37
dc6f2c93-1002-4c53-a533-bc47608a7405,UI/UX Designer,PT Citra Data,Teknologi & Informasi,"Kami di PT Citra Data sedang membuka kesempatan karir untuk posisi UI/UX Designer. Kandidat yang ideal diharapkan mampu beradaptasi cepat dalam lingkungan teknologi yang dinamis. Tanggung jawab utama meliputi eksekusi proyek strategis dan kolaborasi lintas divisi. Kualifikasi teknis wajib: Menguasai Figma, Komunikasi, Photoshop, Design System, Adobe Illustrator, serta Negosiasi. Memiliki kemampuan problem solving yang baik sangat diutamakan.","Figma, Komunikasi, Photoshop, Design System, Adobe Illustrator, Negosiasi",Senior Level,2025-11-18 07:50:37
a1de7013-d661-4886-bb0a-27d56800cafd,Data Analyst,PT Berjaya Cloud,Teknologi & Informasi,"Kami di PT Berjaya Cloud sedang membuka kesempatan karir untuk posisi Data Analyst. Kandidat yang ideal diharapkan mampu beradaptasi cepat dalam lingkungan teknologi yang dinamis. Tanggung jawab utama meliputi eksekusi proyek strategis dan kolaborasi lintas divisi. Kualifikasi teknis wajib: Menguasai Statistika, Komunikasi, SQL, R, Leadership, serta Machine Learning. Memiliki kemampuan problem solving yang baik sangat diutamakan.","Statistika, Komunikasi, SQL, R, Leadership, Machine Learning",1-3 Tahun,2026-02-16 03:02:37
d1b08a82-c0ca-418d-b1d9-ce4c891583d0,UI/UX Designer,PT Sentosa Cloud,Teknologi & Informasi,"Kami di PT Sentosa Cloud sedang membuka kesempatan karir untuk posisi UI/UX Designer. Kandidat yang ideal diharapkan mampu beradaptasi cepat dalam lingkungan teknologi yang dinamis. Tanggung jawab utama meliputi eksekusi proyek strategis dan kolaborasi lintas divisi. Kualifikasi teknis wajib: Menguasai User Research, UI/UX, Figma, serta Jira. Memiliki kemampuan problem solving yang baik sangat diutamakan.","User Research, UI/UX, Figma, Jira",1-3 Tahun,2025-09-01 04:41:37
4ba63eba-de8b-4df8-ad0a-a916cf672c39,Backend Developer,PT Inovasi Software,Teknologi & Informasi,"Kami di PT Inovasi Software sedang membuka kesempatan karir untuk posisi Backend Developer. Kandidat yang ideal diharapkan mampu beradaptasi cepat dalam lingkungan teknologi yang dinamis. Tanggung jawab utama meliputi eksekusi proyek strategis dan kolaborasi lintas divisi. Kualifikasi teknis wajib: Menguasai Nuxt.js, PostgreSQL, Project Management, Python, MongoDB, Negosiasi, serta FastAPI. Memiliki kemampuan problem solving yang baik sangat diutamakan.","Nuxt.js, PostgreSQL, Project Management, Python, MongoDB, Negosiasi, FastAPI",1-3 Tahun,2025-06-04 15:56:37
1bd70ff2-cfdf-455e-85d4-ca8c7ad4f4b7,UI/UX Designer,PT Lancar System,Teknologi & Informasi,"Kami di PT Lancar System sedang membuka kesempatan karir untuk posisi UI/UX Designer. Kandidat yang ideal diharapkan mampu beradaptasi cepat dalam lingkungan teknologi yang dinamis. Tanggung jawab utama meliputi eksekusi proyek strategis dan kolaborasi lintas divisi. Kualifikasi teknis wajib: Menguasai Negosiasi, Project Management, Photoshop, UI/UX, Prototyping, Wireframing, User Research, serta Figma. Memiliki kemampuan problem solving yang baik sangat diutamakan.","Negosiasi, Project Management, Photoshop, UI/UX, Prototyping, Wireframing, User Research, Figma",Senior Level,2025-09-18 04:58:37
